id,extension_id:id,query_type,server,regex_registrar,regex_registrar_url,regex_domain_status,regex_nameservers,regex_creation_date,regex_updated_date,regex_expiry_date
domain_name_kw_whois,domain_name_kw,"whois","whois.nic.kw","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ky_whois,domain_name_ky,"whois","whois.kyregistry.ky","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_kz_whois,domain_name_kz,"whois","whois.nic.kz","Current Registar:(.*?)\n","","Domain status\s+:(.*?)Registar created","server[\.]{2,}:(.*?)\n","Domain created:(.*?)(?:\(|\n)","Last modified\s+:(.*?)(?:\(|\n)",""
domain_name_la_whois,domain_name_la,"whois","whois.nic.la","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_lb_whois,domain_name_lb,"whois","registry.lbdr.org.lb","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_lc_whois,domain_name_lc,"whois","whois.donuts.co","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"

domain_name_ls_whois,domain_name_ls,"whois","whois.nic.ls","registrar:(.*?)\n","","","nserver:(.*?)\n","registered:(.*?)\n","","expire:(.*?)\n"
domain_name_lt_whois,domain_name_lt,"whois","whois.domreg.lt","Registrar:(.*?)\n","Registrar website:(.*?)\n","Status:(.*?)\n","Nameserver:(.*?)\n","Registered:(.*?)\n","","Expires:(.*?)\n"
domain_name_lu_whois,domain_name_lu,"whois","whois.dns.lu","registrar-name:(.*?)\n","registrar-url:(.*?)\n","domaintype:(.*?)\n","nserver:(.*?)\n","","",""
domain_name_lv_whois,domain_name_lv,"whois","whois.nic.lv","","","Status:(.*?)\n","Nserver:(.*?)(?:-|\n)","","",""
domain_name_ly_whois,domain_name_ly,"whois","whois.nic.ly","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ma_whois,domain_name_ma,"whois","whois.registre.ma","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_md_whois,domain_name_md,"whois","whois.nic.md","","","Domain\s+state(.*?)\n","Nameserver(.*?)\n","Registered on(.*?)\n","","(?:Expires|Expired)\s+on(.*?)\n"
domain_name_me_whois,domain_name_me,"whois","whois.nic.me","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_mg_whois,domain_name_mg,"whois","whois.nic.mg","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_mk_whois,domain_name_mk,"whois","whois.marnet.mk","registrar:(.*?)\n","","status:(.*?)\n","server:(.*?)\n","registered:(.*?)\n","changed:(.*?)expire:","expire:(.*?)\n"
domain_name_ml_whois,domain_name_ml,"whois","whois.nic.ml","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_mn_whois,domain_name_mn,"whois","whois.nic.mn","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_mo_whois,domain_name_mo,"whois","whois.monic.mo","","","","Domain name servers:\n\s+-{2,}\n(.*?)\n\n","Record created on(.*?)\n","","Record expires on(.*?)\n"
domain_name_mq_whois,domain_name_mq,"whois","whois.mediaserv.net","","","","nameserver:(.*?)\n","","changed:(.*?)nameserver",""
domain_name_mr_whois,domain_name_mr,"whois","whois.nic.mr","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ms_whois,domain_name_ms,"whois","production.epp.mninet.ms","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_mu_whois,domain_name_mu,"whois","whois.nic.mu","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_mw_whois,domain_name_mw,"whois","whois.nic.mw","registrar:(.*?)\n","","status:(.*?)\n","nserver:(.*?)\n","registered:(.*?)\n","changed:(.*?)expire","expire:(.*?)\n"
domain_name_mx_whois,domain_name_mx,"whois","whois.mx","Registrar:(.*?)\n","URL:(.*?)\n","","DNS:(.*?)\n","Created On:(.*?)\n","Last Updated On:(.*?)\n","Expiration Date:(.*?)\n"
domain_name_my_whois,domain_name_my,"whois","rdap.mynic.my","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_mz_whois,domain_name_mz,"whois","whois.nic.mz","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"

domain_name_nc_whois,domain_name_nc,"whois","whois.nc","Registrar\s{2,}:(.*?)\n","","","Domain server\s+\d\s{2,}:(.*?)\n","Created on\s{2,}:(.*?)\n","Last updated on\s{2,}:(.*?)\n","Expires on\s{2,}:(.*?)\n"
domain_name_nf_whois,domain_name_nf,"whois","whois.nic.nf","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ng_whois,domain_name_ng,"whois","whois.nic.net.ng","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_nl_whois,domain_name_nl,"whois","whois.domain-registry.nl","Registrar:(?:\r\n|\n)\s{2,}(.*?)\n","","Status:(.*?)\n","Domain nameservers:(.*?)Record maintained by","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Date out of quarantine:(.*?)\n"
